lon,lat,sd
90.9,24.26,12
90.9,24.32,14
89.8,24.165,15
89.9,24.28,45
89.76,24,54
90.5,24.2,13
90.5,24.124,56
89.89,24.102,43
90.3,23.5,34
90.3,23.53,43
90.2,23.8,12
90,24.067,43
90,24.225,35
90,23.5,33
90.7,24.235,44
90.69,24.3,42
90.75,24.127,46
90,24.253,23
90,24.29,24
90,24.018,26
89.9,24.142,27
90,23.45,30
90.8,24.242,31
90.8,24.055,32
90.78,24.117,33
90.4,24,34
90.35,24.2,35
90.43,24.35,36
90.53,24.347,37
90.56,24.335,38
90.53,24.218,39
90.07,24.26,40
90.89,24.145,41
90.88,24.248,42
90.87,24.149,43
90.86,24.125,44
90.85,24.341,45
90.84,24.254,46
90.83,24.346,47
90.91,24.247,40
90.92,24.248,41
90.93,24.155,42
90.94,24.161,43
90.91,24.159,44
90.91,24.051,45
90.91,24.158,46
90.91,24.149,47
90.91,24.248,48
90.92,24.252,49
90.91,24.256,50
90.42,23.366,51
90.73,24.25,25
90.07,24.235,25
90.09,24.109,25
90.04,24.214,25
90.3,24.25,32
90.3,24.342,33
90.3,24.253,34
90.28,24.16,35
90.32,24.164,36
90.3,24.27,37
90.32,24.15,38
90.37,24.1342,39
90.39,24.126,40
90.4,24.17,41
90.4,24.25,42
90.4,24.242,43
90.4,24.253,44
90.42,24.16,45
90.42,24.164,46
90.43,24.17,12
